DHB,Date,Cases,Population
Waitemata,2008-01-31,100,517884
Waitemata,2008-02-29,72,518374
Waitemata,2008-03-31,64,518870
Waitemata,2008-04-30,47,519372
Waitemata,2008-05-31,48,519880
Waitemata,2008-06-30,38,520394
Waitemata,2008-07-31,39,520914
Waitemata,2008-08-31,56,521440
Waitemata,2008-09-30,61,521971
Waitemata,2008-10-31,83,522508
Waitemata,2008-11-30,121,523051
Waitemata,2008-12-31,152,523600
Waitemata,2009-01-31,100,524154
Waitemata,2009-02-28,77,524714
Waitemata,2009-03-31,56,525281
Waitemata,2009-04-30,49,525854
Waitemata,2009-05-31,49,526433
Waitemata,2009-06-30,64,527019
Waitemata,2009-07-31,52,527613
Waitemata,2009-08-31,71,528214
Waitemata,2009-09-30,59,528823
Waitemata,2009-10-31,61,529440
Waitemata,2009-11-30,154,530066
Waitemata,2009-12-31,122,530700
Waitemata,2010-01-31,100,531343
Waitemata,2010-02-28,77,531992
Waitemata,2010-03-31,58,532648
Waitemata,2010-04-30,56,533306
Waitemata,2010-05-31,60,533967
Waitemata,2010-06-30,56,534628
Waitemata,2010-07-31,58,535288
Waitemata,2010-08-31,85,535944
Waitemata,2010-09-30,57,536595
Waitemata,2010-10-31,61,537239
Waitemata,2010-11-30,89,537875
Waitemata,2010-12-31,86,538500
Waitemata,2011-01-31,56,539114
Waitemata,2011-02-28,48,539717
Waitemata,2011-03-31,56,540310
Waitemata,2011-04-30,45,540895
Waitemata,2011-05-31,43,541472
Waitemata,2011-06-30,45,542043
Waitemata,2011-07-31,52,542608
Waitemata,2011-08-31,59,543170
Waitemata,2011-09-30,56,543729
Waitemata,2011-10-31,72,544286
Waitemata,2011-11-30,92,544843
Waitemata,2011-12-31,140,545400
Waitemata,2012-01-31,127,545959
Waitemata,2012-02-29,81,546522
Waitemata,2012-03-31,46,547091
Waitemata,2012-04-30,54,547667
Waitemata,2012-05-31,42,548253
Waitemata,2012-06-30,50,548851
Waitemata,2012-07-31,43,549463
Waitemata,2012-08-31,46,550091
Waitemata,2012-09-30,49,550736
Waitemata,2012-10-31,60,551402
Waitemata,2012-11-30,88,552089
Waitemata,2012-12-31,87,552800
Waitemata,2013-01-31,90,553536
Waitemata,2013-02-28,54,554297
Waitemata,2013-03-31,38,555082
Waitemata,2013-04-30,44,555889
Waitemata,2013-05-31,51,556716
Waitemata,2013-06-30,43,557564
Waitemata,2013-07-31,72,558430
Waitemata,2013-08-31,60,559314
Waitemata,2013-09-30,84,560214
Waitemata,2013-10-31,62,561129
Waitemata,2013-11-30,92,562058
Waitemata,2013-12-31,82,563000
Waitemata,2014-01-31,73,563953
Waitemata,2014-02-28,57,564918
Waitemata,2014-03-31,52,565893
Waitemata,2014-04-30,39,566879
Waitemata,2014-05-31,40,567875
Waitemata,2014-06-30,46,568880
Waitemata,2014-07-31,49,569895
Waitemata,2014-08-31,49,570919
Waitemata,2014-09-30,51,571952
Waitemata,2014-10-31,77,572993
Waitemata,2014-11-30,115,574043
Waitemata,2014-12-31,106,575100
Whanganui,2008-01-31,7,63186
Whanganui,2008-02-29,11,63174
Whanganui,2008-03-31,7,63162
Whanganui,2008-04-30,0,63152
Whanganui,2008-05-31,5,63142
Whanganui,2008-06-30,4,63134
Whanganui,2008-07-31,5,63126
Whanganui,2008-08-31,7,63119
Whanganui,2008-09-30,5,63113
Whanganui,2008-10-31,6,63108
Whanganui,2008-11-30,16,63104
Whanganui,2008-12-31,16,63100
Whanganui,2009-01-31,15,63097
Whanganui,2009-02-28,7,63094
Whanganui,2009-03-31,8,63093
Whanganui,2009-04-30,8,63091
Whanganui,2009-05-31,13,63091
Whanganui,2009-06-30,9,63090
