School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
A1 Student Limited,Composite,Composite (Year 1-15),Private: Prov.Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
Abbotsford School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Aberdeen School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Aberfeldy School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
ACG Parnell College,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
ACG Strathallan,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
ACG Sunderland,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
ACG Tauranga,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
ADDI Enrichment Academy,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Taupo
Addington Te Kura Taumatua,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Adventure School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Porirua
