DHB,Date,Age,Ethnicity,Eligible,Immunised
Auckland,2009-07-01,6 months,Asian,370,293
Auckland,2009-07-01,6 months,Maori,211,103
Auckland,2009-07-01,6 months,NZE,485,360
Auckland,2009-07-01,6 months,Other,281,196
Auckland,2009-07-01,6 months,Pacific,333,202
Auckland,2009-07-01,6 months,Total,1680,1154
Auckland,2009-07-01,12 months,Asian,347,317
Auckland,2009-07-01,12 months,Maori,202,157
Auckland,2009-07-01,12 months,NZE,470,425
Auckland,2009-07-01,12 months,Other,268,233
Auckland,2009-07-01,12 months,Pacific,358,310
Auckland,2009-07-01,12 months,Total,1645,1442
Auckland,2009-07-01,18 months,Asian,435,337
Auckland,2009-07-01,18 months,Maori,176,105
Auckland,2009-07-01,18 months,NZE,452,328
Auckland,2009-07-01,18 months,Other,301,190
Auckland,2009-07-01,18 months,Pacific,348,237
Auckland,2009-07-01,18 months,Total,1712,1197
Auckland,2009-07-01,24 months,Asian,334,273
Auckland,2009-07-01,24 months,Maori,158,121
Auckland,2009-07-01,24 months,NZE,431,365
Auckland,2009-07-01,24 months,Other,287,208
Auckland,2009-07-01,24 months,Pacific,328,263
Auckland,2009-07-01,24 months,Total,1538,1230
Auckland,2010-01-01,6 months,Asian,396,327
Auckland,2010-01-01,6 months,Maori,225,133
Auckland,2010-01-01,6 months,NZE,432,323
Auckland,2010-01-01,6 months,Other,270,223
Auckland,2010-01-01,6 months,Pacific,310,220
Auckland,2010-01-01,6 months,Total,1633,1226
Auckland,2010-01-01,12 months,Asian,360,324
Auckland,2010-01-01,12 months,Maori,210,165
Auckland,2010-01-01,12 months,NZE,477,436
Auckland,2010-01-01,12 months,Other,291,254
Auckland,2010-01-01,12 months,Pacific,332,289
Auckland,2010-01-01,12 months,Total,1670,1468
Auckland,2010-01-01,18 months,Asian,321,274
Auckland,2010-01-01,18 months,Maori,200,139
Auckland,2010-01-01,18 months,NZE,450,384
Auckland,2010-01-01,18 months,Other,273,216
Auckland,2010-01-01,18 months,Pacific,354,248
Auckland,2010-01-01,18 months,Total,1598,1261
Auckland,2010-01-01,24 months,Asian,439,387
Auckland,2010-01-01,24 months,Maori,177,138
Auckland,2010-01-01,24 months,NZE,441,385
Auckland,2010-01-01,24 months,Other,302,230
Auckland,2010-01-01,24 months,Pacific,341,291
Auckland,2010-01-01,24 months,Total,1700,1431
Auckland,2010-04-01,6 months,Asian,430,332
Auckland,2010-04-01,6 months,Maori,220,128
Auckland,2010-04-01,6 months,NZE,463,332
Auckland,2010-04-01,6 months,Other,255,180
Auckland,2010-04-01,6 months,Pacific,340,222
